index,Style,Category,Size,Qty
204,JNE3795,kurta,3XL,1
205,J0340,Top,M,0
206,SET398,Set,M,1
207,NW033,Set,3XL,1
208,NW037,Set,3XL,1
209,JNE3618,kurta,M,1
210,SET290,Set,M,1
211,JNE3405,kurta,L,1
212,JNE3568,kurta,XXL,1
213,J0003,Set,3XL,1
214,JNE2153,kurta,S,1
215,JNE3861,Western Dress,XL,0
216,JNE3645,Top,XS,1
217,JNE3662,Top,XS,1
218,JNE3440,kurta,L,1
219,SET331,Set,S,1
220,J0301,Top,M,1
221,MEN5004,kurta,XL,1
222,J0352,kurta,S,1
223,JNE3160,kurta,XXL,1
224,JNE3798,Western Dress,M,1
225,JNE3690,Top,XL,1
226,SET355,Set,XXL,0
227,SET317,Set,XXL,0
228,SET375,Set,XL,1
229,JNE3371,kurta,M,1
230,JNE3465,kurta,S,1
231,SET116,Set,XL,1
232,JNE3781,kurta,3XL,1
233,SET147,Set,XL,1
234,SET397,Set,XL,1
235,SET300,Set,L,1
236,JNE3384,kurta,M,1
237,JNE3291,kurta,XL,1
238,SET291,Set,L,1
239,JNE3399,kurta,L,1
240,SET291,Set,M,1
241,JNE3440,kurta,XS,1
242,J0198,Top,S,0
243,SET363,Set,XXL,1
244,SET304,Set,XS,1
245,JNE3405,kurta,XL,1
246,J0348,Set,S,1
247,J0399,Western Dress,M,1
248,JNE3797,Western Dress,M,1
249,JNE3440,kurta,M,0
250,JNE3802,kurta,M,0
251,J0285,Set,M,0
252,SET322,Set,XL,1
253,MEN5021,kurta,XL,1
254,PJ0096,kurta,5XL,1
255,JNE3461,kurta,M,1
256,SET383,Set,L,1
257,J0002,Set,3XL,1
258,SET344,Set,3XL,1
259,JNE3465,kurta,XXL,1
260,SET324,Set,XXL,1
261,SET184,Set,3XL,1
262,SET324,Set,L,1
263,JNE3697,kurta,XXL,1
264,J0008,Set,S,1
265,J0008,Set,XXL,2
266,J0013,Set,XXL,1
267,J0208,Western Dress,S,1
268,SET344,Set,XL,1
269,NW001,Set,XXL,1
270,SET304,Set,S,0
271,SET265,Set,XL,0
272,SET004,Set,S,1
273,JNE3405,kurta,XL,1
274,SET345,Set,M,1
275,J0012,Set,M,1
276,JNE3465,kurta,M,1
277,SET374,Set,XS,1
278,JNE3567,kurta,XL,1
279,J0041,Set,M,1
280,JNE3611,kurta,XL,1
281,SET384,Set,XS,1
282,JNE3802,kurta,M,1
283,SET374,Set,XS,1
284,SET347,Set,S,1
285,JNE2014,kurta,XL,1
286,JNE3635,kurta,L,1
287,JNE3721,kurta,L,1
288,J0118,Top,3XL,1
289,JNE3654,Top,XS,1
290,JNE3652,Top,XL,1
291,J0339,Western Dress,L,1
292,SET303,Set,XL,1
293,JNE3396,kurta,3XL,1
294,JNE3256,kurta,3XL,1
295,J0340,Top,XS,1
296,J0335,Western Dress,S,1
297,J0008,Set,L,1
298,SET268,Set,XS,1
299,J0280,Set,S,1
300,JNE3405,kurta,L,1
301,J0339,Western Dress,M,1
302,JNE3564,kurta,3XL,1
303,SET182,Set,L,1
304,SET128,Set,M,1
305,JNE3567,kurta,XXL,1
306,JNE3568,kurta,L,1
307,JNE3405,kurta,L,1
308,J0011,Set,M,1
309,JNE3881,Western Dress,3XL,1
310,JNE3639,Top,XXL,1
311,SET291,Set,XXL,1
312,JNE3613,kurta,XXL,1
313,JNE3368,kurta,3XL,1
314,JNE3522,kurta,XXL,1
315,JNE3741,kurta,XXL,1
316,JNE3405,kurta,L,1
317,SET293,Set,S,1
318,SET388,Set,L,1
319,JNE3405,kurta,L,1
320,J0008,Set,XS,1
321,SET197,Set,L,1
322,MEN5029,kurta,M,1
323,J0341,Western Dress,XS,1
324,J0010,Set,L,0
325,JNE3800,Western Dress,M,1
326,JNE3798,Western Dress,M,1
327,JNE3453,kurta,S,0
328,J0012,Set,M,0
329,SET183,Set,M,1
330,MEN5029,kurta,M,1
331,J0003,Set,XXL,1
332,J0341,Western Dress,XXL,1
333,J0341,Western Dress,3XL,1
334,JNE3373,kurta,3XL,1
335,JNE3405,kurta,XL,1
336,SET291,Set,XL,1
337,J0331,kurta,3XL,1
338,JNE3752,kurta,3XL,1
339,SET369,Set,XXL,1
340,J0341,Western Dress,M,1
341,JNE3797,Western Dress,M,1
342,JNE3373,kurta,XS,1
343,JNE3805,kurta,L,1
344,J0003,Set,XXL,1
345,JNE3537,kurta,M,1
346,J0003,Set,XL,1
347,SET324,Set,M,1
348,SET293,Set,M,1
349,SET436,Set,3XL,1
350,SET264,Set,XXL,1
351,JNE3567,kurta,XS,1
352,J0329,kurta,3XL,1
353,JNE3568,kurta,XL,1
354,SET341,Set,L,1
355,JNE3543,kurta,M,1
356,JNE3368,kurta,3XL,1
357,JNE3405,kurta,L,1
358,JNE3365,kurta,S,1
359,JNE3759,kurta,XL,1
360,MEN5001,kurta,L,1
361,J0098,Top,XS,1
362,JNE3567,kurta,XL,1
363,SET226,Set,L,0
364,SET380,Set,3XL,1
365,MEN5009,kurta,M,1
366,MEN5011,kurta,M,1
367,SET324,Set,M,1
368,MEN5032,kurta,S,1
369,PJ0096,kurta,5XL,1
370,SET268,Set,L,1
371,JNE3567,kurta,M,1
372,SET359,Set,XXL,1
373,J0199,Set,3XL,1
374,JNE3798,Western Dress,M,1
375,J0401,Western Dress,L,1
376,J0003,Set,XS,1
377,J0308,Western Dress,XL,1
378,PJNE3368,kurta,6XL,1
379,PJNE3252,kurta,6XL,1
380,JNE3752,kurta,M,0
381,SET217,Set,3XL,0
382,JNE3799,kurta,XL,1
383,JNE3405,kurta,S,1
384,JNE3294,kurta,S,1
385,JNE3405,kurta,L,1
386,SET356,Set,3XL,1
387,JNE2014,kurta,3XL,1
388,J0401,Western Dress,XS,1
389,SET291,Set,M,1
390,SET110,Set,XXL,1
391,J0003,Set,M,1
392,SET365,Set,L,1
393,JNE3405,kurta,3XL,1
394,J0003,Set,L,1
395,J0230,Set,XXL,1
396,JNE3465,kurta,3XL,1
397,SET265,Set,M,1
398,J0280,Set,S,1
399,JNE3405,kurta,3XL,1
400,JNE3288,kurta,M,1
401,SET316,Set,M,1
402,J0006,Ethnic Dress,M,1
403,SET268,Set,S,1
404,JNE3800,Western Dress,XXL,0
405,SET268,Set,S,1
406,J0003,Set,M,1
407,JNE2270,kurta,L,1
408,SET345,Set,XXL,1
409,PJNE3373,kurta,6XL,1
410,MEN5024,kurta,M,1
411,MEN5023,kurta,XL,1
412,JNE2270,kurta,L,1
413,J0308,Western Dress,XL,0
414,JNE3797,Western Dress,XS,1
415,JNE3515,kurta,XL,0
416,J0225,Set,XXL,1
417,JNE3461,kurta,L,1
418,JNE3618,kurta,XS,1
419,PJNE3405,kurta,5XL,1
420,SET264,Set,XXL,1
421,JNE3500,kurta,S,1
422,JNE3690,Top,XL,1
423,SET374,Set,XS,1
424,J0003,Set,XXL,1
425,SET324,Set,XXL,1
426,JNE3461,kurta,L,1
427,JNE3368,kurta,XXL,1
428,JNE2270,kurta,XL,0
429,J0341,Western Dress,M,1
430,JNE3568,kurta,S,1
431,J0096,kurta,S,1
432,SET319,Set,S,1
433,J0096,kurta,S,1
434,J0415,Western Dress,L,1
435,JNE3718,kurta,XXL,1
436,SET014,Set,XXL,1
437,SET408,Set,XXL,0
438,JNE3405,kurta,M,1
439,J0254,Set,XS,1
440,SAR114,Saree,Free,1
441,J0010,Set,XS,1
442,SET186,Set,M,1
443,JNE3819,kurta,L,1
444,J0335,Western Dress,L,1
445,SET334,Set,XXL,1
446,SET324,Set,L,1
447,JNE3470,kurta,XS,1
448,JNE3619,kurta,XS,0
449,J0283,Set,XL,1
450,JNE3440,kurta,XL,1
451,JNE3567,kurta,M,1
452,JNE3787,kurta,XXL,1
453,SET282,Set,XXL,1
454,JNE3691,Top,L,1
455,JNE3645,Top,L,1
456,JNE3727,kurta,XXL,0
457,SET398,Set,M,1
458,JNE3634,kurta,XL,1
459,SET291,Set,XL,1
460,JNE3675,Top,L,1
461,JNE2199,kurta,XXL,1
462,SET184,Set,XXL,1
463,JNE3639,Top,XXL,1
464,JNE3468,kurta,L,1
465,JNE3373,kurta,L,1
466,J0213,Top,L,1
467,BL110,Blouse,XL,1
468,J0008,Set,XL,1
469,SET288,Set,XXL,1
470,SET374,Set,XS,0
471,JNE3399,kurta,L,1
472,JNE3405,kurta,XL,1
473,JNE3567,kurta,XL,1
474,JNE3405,kurta,XL,1
475,SET110,Set,L,1
476,MEN5031,kurta,3XL,1
477,J0003,Set,XS,1
478,JNE3421,kurta,M,1
479,SET351,Set,L,1
480,SET337,Set,L,1
481,MEN5021,kurta,XXL,1
482,JNE3567,kurta,XXL,1
483,J0338,Western Dress,L,1
484,MEN5009,kurta,M,1
485,JNE3421,kurta,M,1
486,JNE3364,kurta,L,1
487,JNE3465,kurta,XXL,1
488,JNE3568,kurta,XXL,1
489,JNE3781,kurta,3XL,0
490,JNE2153,kurta,XL,1
491,JNE3487,kurta,XXL,1
492,JNE3865,Top,3XL,1
493,SET324,Set,L,1
494,J0118,Top,XXL,1
495,SET291,Set,3XL,1
496,JNE3704,kurta,L,1
497,J0378,Set,XXL,1
498,J0003,Set,M,1
499,JNE3721,kurta,XL,1
500,J0308,Western Dress,XXL,0
501,SET398,Set,XXL,1
502,J0157,Western Dress,S,1
503,JNE3799,kurta,S,0
504,JNE2265,kurta,S,1
505,JNE3401,kurta,M,1
506,JNE3787,kurta,XXL,1
507,SET332,Set,L,1
508,SET345,Set,XL,1
509,JNE1525,kurta,XL,0
510,J0373,kurta,M,0
511,JNE3449,kurta,3XL,1
512,J0118,Top,3XL,1
513,J0006,Ethnic Dress,L,1
514,J0335,Western Dress,XL,1
515,J0301,Top,M,1
516,SET228,Set,3XL,1
517,J0012,Set,M,1
518,MEN5023,kurta,S,0
519,SET388,Set,S,1
520,SET333,Set,XL,1
521,MEN5002,kurta,XXL,0
522,SET172,Set,M,1
523,SET268,Set,XL,1
524,JNE3800,Western Dress,M,1
525,JNE3405,kurta,3XL,1
526,SET319,Set,XL,1
527,SET378,Set,XS,1
528,JNE3405,kurta,XL,1
529,JNE3368,kurta,3XL,1
530,SET233,Set,L,1
531,SET344,Set,S,1
532,MEN5002,kurta,M,1
533,JNE3405,kurta,L,1
534,JNE3405,kurta,XL,1
535,SET319,Set,S,0
536,JNE3368,kurta,XXL,1
537,JNE3718,kurta,XXL,0
538,MEN5006,kurta,XXL,0
539,J0230,Set,L,1
540,SET233,Set,L,0
541,SET363,Set,XL,1
542,JNE3794,kurta,3XL,1
543,JNE3721,kurta,XL,1
544,JNE3797,Western Dress,L,1
545,JNE3461,kurta,XXL,1
546,SET345,Set,L,1
547,SET131,Set,XXL,0
548,J0157,Western Dress,S,1
549,SET203,Set,S,1
550,SET098,Set,XL,1
551,JNE3614,kurta,M,1
552,J0201,Top,L,1
553,J0003,Set,3XL,1
554,JNE3405,kurta,XL,1
555,SET201,Set,XXL,1
556,SET324,Set,L,1
557,NW030,Set,XXL,1
558,SET273,Set,3XL,1
559,J0003,Set,M,1
560,JNE3690,Top,L,1
561,J0247,Set,S,1
562,SET347,Set,3XL,1
563,J0386,kurta,3XL,0
564,JNE3405,kurta,XL,1
565,J0342,Top,L,1
566,SET363,Set,L,1
567,J0342,Top,M,1
568,J0198,Top,3XL,1
569,JNE3500,kurta,XXL,1
570,JNE3510,kurta,XL,1
571,J0005,Western Dress,XXL,1
572,J0003,Set,XXL,0
573,SET360,Set,XXL,1
574,SET110,Set,S,1
575,JNE3645,Top,XS,1
576,JNE3373,kurta,XXL,1
577,JNE3797,Western Dress,M,1
578,J0341,Western Dress,S,1
579,J0416,Western Dress,S,1
580,JNE3405,kurta,XL,1
581,SET310,Set,XXL,1
582,SET188,Set,XS,1
583,J0096,kurta,XS,1
584,SET323,Set,XXL,1
585,J0300,Top,3XL,1
586,PJNE3405,kurta,5XL,1
587,PJNE2100,kurta,5XL,1
588,PJNE3068,kurta,5XL,1
589,J0196,Top,XXL,1
590,JNE3405,kurta,3XL,1
591,SET187,Set,XL,1
592,SET389,Set,XL,1
593,J0008,Set,XL,0
594,SAR040,Saree,Free,1
595,J0372,Set,L,1
596,J0157,Western Dress,S,1
597,J0376,Set,S,1
598,JNE3518,kurta,M,1
599,J0095,Set,3XL,1
600,NW004,Set,3XL,1
601,J0167,kurta,S,1
602,SET374,Set,3XL,0
603,J0230,Set,S,1
604,JNE3465,kurta,S,1
605,SET331,Set,M,1
606,SET356,Set,L,1
607,JNE3618,kurta,M,1
608,JNE3465,kurta,3XL,1
609,SET293,Set,XXL,1
610,JNE3465,kurta,XXL,1
611,SET375,Set,XXL,1
612,SET398,Set,M,1
613,SET324,Set,S,1
614,SET398,Set,M,1
615,JNE3470,kurta,XS,1
616,JNE3619,kurta,XS,1
617,JNE3273,kurta,XXL,1
618,SET331,Set,L,1
619,JNE3518,kurta,XL,1
620,JNE3476,kurta,XL,1
621,JNE3738,kurta,3XL,1
622,JNE3465,kurta,XS,1
623,JNE3463,kurta,3XL,1
624,MEN5032,kurta,XXL,1
625,SET380,Set,L,1
626,J0230,Set,M,1
627,SET324,Set,3XL,1
628,JNE3405,kurta,L,1
629,JNE3461,kurta,XL,1
